Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Budget),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Thanh toán Online,TEC-57,10285,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,17/Mar/26 11:26 PM,10/Apr/26 8:41 PM,,22/Mar/26 2:14 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@15e8748e,,,,,,,,,,,,,,,,,,,,0|i0002y:c,,,,,,,,,TEC Sprint 2:Advanced Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_29628_*|*_10047_*:*_1_*:*_0,10329,TEC-65,Checkout,Done,22/Mar/26 2:14 PM
Xem lịch sử đơn hàng,TEC-10,10179,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:21 PM,22/Mar/26 2:49 PM,27/Feb/26 8:57 PM,22/Mar/26 2:49 PM,,0,"# *User Story*
Với vai trò là khách hàng,
Tôi muốn xem các đơn hàng đã mua,
Để theo dõi lại lịch sử giao dịch.
# *Tiêu chí chấp nhận*

* Hiển thị danh sách đơn theo tài khoản
* Mỗi đơn hiển thị ngày tạo và trạng thái",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b18dedb,,,,,,,,,,,,,,,,,,,,0|i0002y:ci,,,,,,,,,TEC Sprint 2:Advanced Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_1637688482_*|*_10047_*:*_1_*:*_0,10182,TEC-13,Quản lý đơn hàng,Done,22/Mar/26 2:49 PM
Theo dõi trạng thái đơn hàng,TEC-11,10180,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:21 PM,22/Mar/26 2:49 PM,27/Feb/26 8:57 PM,22/Mar/26 2:49 PM,,0,"# *User Story*
Với vai trò là khách hàng,
Tôi muốn xem trạng thái đơn hàng,
Để biết đơn đang được xử lý hay đã giao.
# *Tiêu chí chấp nhận*

* Hiển thị trạng thái hiện tại (Đang xử lý / Đã gửi)
* Cập nhật khi admin thay đổi trạng thái",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@337528f2,,,,,,,,,,,,,,,,,,,,0|i0002y:cr,,,,,,,,,TEC Sprint 2:Advanced Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_1637697615_*|*_10047_*:*_1_*:*_0,10182,TEC-13,Quản lý đơn hàng,Done,22/Mar/26 2:49 PM
Tìm kiếm sản phẩm,TEC-7,10176,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:21 PM,24/Mar/26 9:45 PM,27/Feb/26 8:58 PM,24/Mar/26 9:45 PM,,0,"# *User Story*
Với vai trò là khách hàng,
Tôi muốn tìm kiếm sản phẩm theo từ khóa,
Để nhanh chóng tìm được sản phẩm mong muốn.
# *Tiêu chí chấp nhận*

* Tìm theo tên sản phẩm
* Không phân biệt chữ hoa chữ thường
* Trả về danh sách sản phẩm phù hợp",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39b43314,,,,,,,,,,,,,,,,,,,,0|i0002y:ct,,,,,,,,,TEC Sprint 2:Advanced Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_1584398845_*|*_10047_*:*_1_*:*_0,10181,TEC-12,Xem và tìm kiếm sản phẩm,Done,24/Mar/26 9:45 PM
Quản lý người dùng,TEC-17,10186,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:25 PM,22/Mar/26 7:35 PM,27/Feb/26 8:55 PM,22/Mar/26 7:35 PM,,0,"# *User Story*
Với vai trò là quản trị viên,
Tôi muốn xem và khóa tài khoản người dùng,
Để đảm bảo hệ thống hoạt động ổn định và xử lý vi phạm.
# *Tiêu chí chấp nhận*

* Tìm kiếm người dùng theo email
* Xem thông tin tài khoản
* Khóa hoặc mở khóa tài khoản
* Tài khoản bị khóa không thể đăng nhập",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26bb72c0,,,,,,,,,,,,,,,,,,,,0|i0002y:cv,,,,,,,,,TEC Sprint 2:Advanced Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_1584152184_*|*_10047_*:*_1_*:*_0,10191,TEC-22,Quản trị hệ thống (Admin),Done,22/Mar/26 7:35 PM
Xem và tìm kiếm sản phẩm,TEC-12,10181,Epic,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:21 PM,12/Apr/26 2:56 PM,10/Apr/26 8:46 PM,10/Apr/26 8:46 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@29c36898,,,,,,,,,,,,,dark_teal,,,,,,,0|i0002z:,,,,,,,,,,,,,,,,,,,,,,,,,10046_*:*_1_*:*_3648293234_*|*_10048_*:*_1_*:*_0,,,,Done,10/Apr/26 8:46 PM
Quản lý đơn hàng,TEC-13,10182,Epic,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:23 PM,12/Apr/26 2:57 PM,10/Apr/26 8:46 PM,10/Apr/26 8:46 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26263b35,,,,,,,,,,,,,dark_grey,,,,,,,0|i00037:,,,,,,,,,,,,,,,,,,,,,,,,,10046_*:*_1_*:*_3648206162_*|*_10048_*:*_1_*:*_0,,,,Done,10/Apr/26 8:46 PM
Quản lý giỏ hàng,TEC-21,10190,Epic,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:28 PM,12/Apr/26 2:57 PM,10/Apr/26 8:46 PM,10/Apr/26 8:46 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69510373,,,,,,,,,,,,,grey,,,,,,,0|i0004b:,,,,,,,,,,,,,,,,,,,,,,,,,10046_*:*_1_*:*_3647910749_*|*_10048_*:*_1_*:*_0,,,,Done,10/Apr/26 8:46 PM
Quản trị hệ thống (Admin),TEC-22,10191,Epic,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,27/Feb/26 3:28 PM,12/Apr/26 2:57 PM,10/Apr/26 8:46 PM,10/Apr/26 8:46 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@68a19226,,,,,,,,,,,,,dark_purple,,,,,,,0|i0004j:,,,,,,,,,,,,,,,,,,,,,,,,,10046_*:*_1_*:*_3647903049_*|*_10048_*:*_1_*:*_0,,,,Done,10/Apr/26 8:46 PM
Frontend,TEC-26,10196,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,02/Mar/26 3:15 PM,17/Mar/26 11:24 PM,04/Mar/26 5:12 PM,17/Mar/26 11:24 PM,,0,"* Tạo form đăng ký
* Validate phía client
* Gọi API register
* Hiển thị lỗi nếu email trùng
* Redirect sau khi đăng ký thành công",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6735fee1,,,,,,,,,,,,,,,,,,,,0|i00057:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_1325321167_*|*_10048_*:*_1_*:*_0,10170,TEC-1,Đăng ký tài khoản,Done,17/Mar/26 11:24 PM
