Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Budget),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Backend,TEC-27,10198,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,04/Mar/26 10:09 AM,17/Mar/26 11:24 PM,,17/Mar/26 11:24 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5103abc1,,,,,,,,,,,,,,,,,,,,0|i0005f:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_1170872082_*|*_10048_*:*_1_*:*_0,10170,TEC-1,Đăng ký tài khoản,Done,17/Mar/26 11:24 PM
Home,TEC-28,10200,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,04/Mar/26 2:14 PM,11/Mar/26 9:34 AM,,11/Mar/26 9:34 AM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@23da7835,,,,,,,,,,,,,,,,,,,,0|i0005n:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_587963570_*|*_10048_*:*_1_*:*_0,10174,TEC-5,Xem danh sách sản phẩm,Done,11/Mar/26 9:34 AM
backend,TEC-29,10202,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,04/Mar/26 2:17 PM,15/Mar/26 9:03 PM,,15/Mar/26 9:03 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1cf64938,,,,,,,,,,,,,,,,,,,,0|i0005v:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_974749438_*|*_10048_*:*_1_*:*_0,10174,TEC-5,Xem danh sách sản phẩm,Done,15/Mar/26 9:03 PM
Thiết kế Database,TEC-30,10204,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,09/Mar/26 11:22 AM,17/Mar/26 11:23 PM,,17/Mar/26 11:23 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30d8babc,,,,,,,,,,,,,,,,,,,,0|i00063:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_60816_*|*_10048_*:*_1_*:*_167576195_*|*_10047_*:*_2_*:*_50432,10183,TEC-14,Thêm/Sửa/Xóa sản phẩm,Done,17/Mar/26 11:23 PM
Xử lý dataset và import vào DB,TEC-31,10206,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,09/Mar/26 11:23 AM,09/Mar/26 11:24 AM,,09/Mar/26 11:23 AM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b73de38,,,,,,,,,,,,,,,,,,,,0|i0006b:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_56199_*|*_10047_*:*_1_*:*_0,10183,TEC-14,Thêm/Sửa/Xóa sản phẩm,Done,09/Mar/26 11:23 AM
Tạo DTO cho hệ thống,TEC-32,10208,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,09/Mar/26 11:23 AM,09/Mar/26 11:24 AM,,09/Mar/26 11:24 AM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f3c6d7c,,,,,,,,,,,,,,,,,,,,0|i0006j:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_56298_*|*_10048_*:*_1_*:*_0,10183,TEC-14,Thêm/Sửa/Xóa sản phẩm,Done,09/Mar/26 11:24 AM
"Tạo giao diện cơ bản (Dashboard, Login)",TEC-33,10210,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,09/Mar/26 11:23 AM,09/Mar/26 11:24 AM,,09/Mar/26 11:24 AM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@14bba6a8,,,,,,,,,,,,,,,,,,,,0|i0006r:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_71627_*|*_10048_*:*_1_*:*_0,10183,TEC-14,Thêm/Sửa/Xóa sản phẩm,Done,09/Mar/26 11:24 AM
Module quản lý Brand,TEC-34,10212,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,09/Mar/26 11:23 AM,09/Mar/26 11:24 AM,,09/Mar/26 11:24 AM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4313d6e9,,,,,,,,,,,,,,,,,,,,0|i0006z:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_68966_*|*_10048_*:*_1_*:*_0,10183,TEC-14,Thêm/Sửa/Xóa sản phẩm,Done,09/Mar/26 11:24 AM
Module quản lý Category,TEC-35,10214,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,09/Mar/26 11:23 AM,09/Mar/26 11:24 AM,,09/Mar/26 11:24 AM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@414a9147,,,,,,,,,,,,,,,,,,,,0|i00077:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_65309_*|*_10048_*:*_1_*:*_0,10183,TEC-14,Thêm/Sửa/Xóa sản phẩm,Done,09/Mar/26 11:24 AM
Module quản lý Attribute,TEC-36,10216,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,09/Mar/26 11:23 AM,09/Mar/26 11:24 AM,,09/Mar/26 11:24 AM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17cd9cfb,,,,,,,,,,,,,,,,,,,,0|i0007f:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_66969_*|*_10048_*:*_1_*:*_0,10183,TEC-14,Thêm/Sửa/Xóa sản phẩm,Done,09/Mar/26 11:24 AM
Module quản lý Product,TEC-37,10218,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,09/Mar/26 11:23 AM,09/Mar/26 11:24 AM,,09/Mar/26 11:24 AM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@207614c7,,,,,,,,,,,,,,,,,,,,0|i0007n:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_65784_*|*_10048_*:*_1_*:*_0,10183,TEC-14,Thêm/Sửa/Xóa sản phẩm,Done,09/Mar/26 11:24 AM
Module Variant và Variant Attribute,TEC-38,10220,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,09/Mar/26 11:23 AM,09/Mar/26 11:24 AM,,09/Mar/26 11:24 AM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@31a65913,,,,,,,,,,,,,,,,,,,,0|i0007v:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_64982_*|*_10047_*:*_1_*:*_0,10183,TEC-14,Thêm/Sửa/Xóa sản phẩm,Done,09/Mar/26 11:24 AM
Hoàn thiện giao diện Admin,TEC-39,10222,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,09/Mar/26 11:23 AM,17/Mar/26 11:23 PM,,17/Mar/26 11:23 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3312e625,,,,,,,,,,,,,,,,,,,,0|i00083:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_65118_*|*_10047_*:*_1_*:*_0,10183,TEC-14,Thêm/Sửa/Xóa sản phẩm,Done,17/Mar/26 11:23 PM
Kiểm thử hệ thống (Testing),TEC-40,10224,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,09/Mar/26 11:23 AM,17/Mar/26 11:23 PM,,17/Mar/26 11:23 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@31f83388,,,,,,,,,,,,,,,,,,,,0|i0008b:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_60487_*|*_10047_*:*_1_*:*_0,10183,TEC-14,Thêm/Sửa/Xóa sản phẩm,Done,17/Mar/26 11:23 PM
FE,TEC-41,10226,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,11/Mar/26 2:22 PM,17/Mar/26 11:24 PM,,17/Mar/26 11:24 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7c16ae0d,,,,,,,,,,,,,,,,,,,,0|i0008j:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_15434_*|*_10047_*:*_1_*:*_0,10178,TEC-9,Tạo đơn hàng,Done,17/Mar/26 11:24 PM
BE,TEC-42,10228,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,11/Mar/26 2:22 PM,17/Mar/26 11:24 PM,,17/Mar/26 11:24 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@62ce4548,,,,,,,,,,,,,,,,,,,,0|i0008r:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_12689_*|*_10047_*:*_1_*:*_0,10178,TEC-9,Tạo đơn hàng,Done,17/Mar/26 11:24 PM
FE,TEC-43,10259,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:03 PM,15/Mar/26 9:03 PM,,15/Mar/26 9:03 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@169261cc,,,,,,,,,,,,,,,,,,,,0|i0008z:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_13423_*|*_10048_*:*_1_*:*_0,10177,TEC-8,Xem chi tiết sản phẩm,Done,15/Mar/26 9:03 PM
BE,TEC-44,10261,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:03 PM,15/Mar/26 9:03 PM,,15/Mar/26 9:03 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c02b876,,,,,,,,,,,,,,,,,,,,0|i00097:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_10756_*|*_10048_*:*_1_*:*_0,10177,TEC-8,Xem chi tiết sản phẩm,Done,15/Mar/26 9:03 PM
FE,TEC-45,10263,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:04 PM,15/Mar/26 9:04 PM,,15/Mar/26 9:04 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3720ae52,,,,,,,,,,,,,,,,,,,,0|i0009f:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_7910_*|*_10048_*:*_1_*:*_0,10175,TEC-6,Lọc sản phẩm theo danh mục,Done,15/Mar/26 9:04 PM
BE,TEC-46,10265,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:04 PM,15/Mar/26 9:04 PM,,15/Mar/26 9:04 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@275449fb,,,,,,,,,,,,,,,,,,,,0|i0009n:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_7109_*|*_10047_*:*_1_*:*_0,10175,TEC-6,Lọc sản phẩm theo danh mục,Done,15/Mar/26 9:04 PM
Tạo API cập nhật số lượng cart item,TEC-47,10267,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:06 PM,15/Mar/26 9:09 PM,,15/Mar/26 9:09 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6757c4dc,,,,,,,,,,,,,,,,,,,,0|i0009v:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_187730_*|*_10048_*:*_1_*:*_0,10188,TEC-19,Cập nhật số lượng,Done,15/Mar/26 9:09 PM
Thêm UI tăng / giảm số lượng,TEC-48,10269,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:06 PM,17/Mar/26 11:23 PM,,17/Mar/26 11:23 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7e8f1148,,,,,,,,,,,,,,,,,,,,0|i000a3:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_185042_*|*_10047_*:*_1_*:*_0,10188,TEC-19,Cập nhật số lượng,Done,17/Mar/26 11:23 PM
Gọi API update và refresh cart UI,TEC-49,10271,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:09 PM,17/Mar/26 11:23 PM,,17/Mar/26 11:23 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b0d0c5,,,,,,,,,,,,,,,,,,,,0|i000ab:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_180831610_*|*_10048_*:*_1_*:*_0,10188,TEC-19,Cập nhật số lượng,Done,17/Mar/26 11:23 PM
FE,TEC-50,10273,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:10 PM,17/Mar/26 11:24 PM,,17/Mar/26 11:24 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@50d93349,,,,,,,,,,,,,,,,,,,,0|i000aj:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_28744_*|*_10047_*:*_1_*:*_0,10189,TEC-20,Xóa sản phẩm khỏi giỏ,Done,17/Mar/26 11:24 PM
BE,TEC-51,10275,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:10 PM,15/Mar/26 9:10 PM,,15/Mar/26 9:10 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a092f58,,,,,,,,,,,,,,,,,,,,0|i000ar:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_22948_*|*_10048_*:*_1_*:*_0,10189,TEC-20,Xóa sản phẩm khỏi giỏ,Done,15/Mar/26 9:10 PM
Gọi API update và refresh cart UI,TEC-52,10277,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:10 PM,17/Mar/26 11:24 PM,,17/Mar/26 11:24 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d164ee4,,,,,,,,,,,,,,,,,,,,0|i000az:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_14337_*|*_10047_*:*_1_*:*_0,10189,TEC-20,Xóa sản phẩm khỏi giỏ,Done,17/Mar/26 11:24 PM
